"Code","Account Name","Type","Allow Reconciliation","Companies"
"101000","Current Assets","Current Assets","","Miltech Manufacturing"
"101300","Account Receivable (PoS)","Receivable","True","Miltech Manufacturing"
"101401","Bank","Bank and Cash","","Miltech Manufacturing"
"101402","Bank Suspense Account","Current Assets","","Miltech Manufacturing"
"101403","Outstanding Receipts","Current Assets","True","Miltech Manufacturing"
"101404","Outstanding Payments","Current Assets","True","Miltech Manufacturing"
"101405","15008428","Bank and Cash","","Miltech Manufacturing"
"101701","Liquidity Transfer","Current Assets","True","Miltech Manufacturing"
"110100","Stock Valuation","Current Assets","","Miltech Manufacturing"
"110400","Cost of Production","Current Assets","True","Miltech Manufacturing"
"110500","Work in Progress","Current Assets","True","Miltech Manufacturing"
"121000","Account Receivable","Receivable","True","Miltech Manufacturing"
"121100","Products to receive","Current Assets","True","Miltech Manufacturing"
"122000","Owner's Current Account","Receivable","True","Miltech Manufacturing"
"128000","Prepaid Expenses","Current Assets","","Miltech Manufacturing"
"131000","Tax Paid","Current Assets","","Miltech Manufacturing"
"132000","Tax Receivable","Receivable","True","Miltech Manufacturing"
"141000","Prepayments","Prepayments","","Miltech Manufacturing"
"151000","Fixed Asset","Fixed Assets","","Miltech Manufacturing"
"191000","Non-current assets","Non-current Assets","","Miltech Manufacturing"
"201000","Current Liabilities","Current Liabilities","","Miltech Manufacturing"
"201100","Credit Card","Credit Card","","Miltech Manufacturing"
"211000","Account Payable","Payable","True","Miltech Manufacturing"
"211100","Bills to receive","Current Liabilities","True","Miltech Manufacturing"
"212000","Deferred Revenue","Current Liabilities","","Miltech Manufacturing"
"230000","Salary Payable","Current Liabilities","True","Miltech Manufacturing"
"230100","Employee Payroll Taxes","Current Liabilities","True","Miltech Manufacturing"
"230200","Employer Payroll Taxes","Current Liabilities","True","Miltech Manufacturing"
"251000","Tax Received","Current Liabilities","","Miltech Manufacturing"
"252000","Tax Payable","Payable","True","Miltech Manufacturing"
"291000","Non-current Liabilities","Non-current Liabilities","","Miltech Manufacturing"
"301000","Capital","Equity","","Miltech Manufacturing"
"302000","Dividends","Equity","","Miltech Manufacturing"
"400000","Product Sales","Income","","Miltech Manufacturing"
"441000","Foreign Exchange Gain","Income","","Miltech Manufacturing"
"442000","Cash Difference Gain","Income","","Miltech Manufacturing"
"443000","Cash Discount Loss","Expenses","","Miltech Manufacturing"
"450000","Other Income","Other Income","","Miltech Manufacturing"
"500000","Cost of Goods Sold","Cost of Revenue","","Miltech Manufacturing"
"600000","Expenses","Expenses","","Miltech Manufacturing"
"610000","Stock Variation","Expenses","","Miltech Manufacturing"
"611000","Purchase of Equipments","Expenses","","Miltech Manufacturing"
"612000","Rent","Expenses","","Miltech Manufacturing"
"620000","Bank Fees","Expenses","","Miltech Manufacturing"
"630000","Payroll Expenses","Expenses","True","Miltech Manufacturing"
"630001","Salaries and Wages","Expenses","True","Miltech Manufacturing"
"630002","Company Contributions","Expenses","True","Miltech Manufacturing"
"630003","Contract Labor","Expenses","True","Miltech Manufacturing"
"641000","Foreign Exchange Loss","Expenses","","Miltech Manufacturing"
"642000","Cash Difference Loss","Expenses","","Miltech Manufacturing"
"643000","Cash Discount Gain","Income","","Miltech Manufacturing"
"650000","Operating Expenses","Income","True","Miltech Manufacturing"
"650001","Office & Workshop Supplies","Income","True","Miltech Manufacturing"
"650002","Shipping & Postage","Income","True","Miltech Manufacturing"
"650003","Material Expenses","Income","True","Miltech Manufacturing"
"651000","Travel Expenses","Income","True","Miltech Manufacturing"
"652000","Meal Expenses","Income","True","Miltech Manufacturing"
"961000","RD Expenses","Expenses","True","Miltech Manufacturing"
"962000","Sales Expenses","Expenses","","Miltech Manufacturing"
"999999","Undistributed Profits/Losses","Current Year Earnings","","Miltech Manufacturing"
